nome=Matheus;email=math@theus.com;senha=123456;endereco=Casa do carai;telefone=11 6666-6666;data_nascismento=24/06/2012 00:00:00
nome=mads;email=math@tgsdg;senha=123456;endereco=oi oi oi ;telefone=11 6666-6666;data_nascismento=02/01/2024 00:00:00
nome=Matheu;email=lu@cas.com;senha=123456;endereco=oi oi oi ;telefone=11 6666-6666;data_nascismento=02/09/2496 00:00:00
nome=Lucas Pau ;email=math@oi;senha=123456;endereco=oi oi oi ;telefone=11 6666-6666;data_nascismento=08/07/2042 00:00:00
nome=Rayssa Souza Negreir;email=matheus.eren@gmail.c;senha=123456;endereco=22222222222222;telefone=11-95300-2080;data_nascismento=05/04/5644 00:00:00
nome=Rayssa Souza Negreir;email=matheus.eren@gmail.c;senha=123456;endereco=22222222222222;telefone=11-95300-2080;data_nascismento=22/02/0022 00:00:00
nome=Matheus;email=math@tgsdg;senha=123456;endereco=Casa do carai;telefone=11 6666-6666;data_nascismento=01/03/1112 00:00:00
nome=Matheus;email=math@tgsdg;senha=123456;endereco=Casa do carai;telefone=11 6666-6666;data_nascismento=01/03/1112 00:00:00
nome=Matheus;email=math@theus.com;senha=123465;endereco=Casa do carai;telefone=11 6666-6666;data_nascismento=04/04/2024 00:00:00
nome=Matheus;email=blabla@oi;senha=123456;endereco=13254;telefone=13216545;data_nascismento=10/05/2028 00:00:00
nome=Matheus;email=email@legal;senha=123456;endereco=Casa do carai;telefone=11 6666-6666;data_nascismento=04/06/2025 00:00:00
nome=Matheus;email=email@email.legal;senha=123456;endereco=Casa do carai;telefone=11 6666-6666;data_nascismento=15/06/2042 00:00:00
nome=Matheus;email=math@oioi;senha=123465;endereco=Casa do carai;telefone=11 6666-6666;data_nascismento=11/08/2002 00:00:00
nome=Matheus;email=math@oi;senha=123456;endereco=Casa do carai;telefone=11 6666-6666;data_nascismento=04/03/1234 00:00:00
nome=Matheus Bonitão;email=lu1@cas.com;senha=123456;endereco=Casa do carai;telefone=11 6666-6666;data_nascismento=19/12/1974 00:00:00
nome=Matheus;email=math1@theus.com;senha=123465;endereco=Casa do carai;telefone=11 6666-6666;data_nascismento=22/10/2002 00:00:00
nome=Matheus;email=math@theus.com;senha=123456;endereco=Casa do carai;telefone=11 6666-6666;data_nascismento=05/02/2022 00:00:00
