cliente_nome=Matheus;cliente_endereco=Casa do carai;cliente_telefone11 6666-6666;cliente_email=math@theus.com;hamburguer_nome=furioso;hamburguer_preco0;shake_nome=biscoito;shake_preco=0;data_pedido=14/11/2019 15:44:11;preco_total=0
cliente_nome=Matheus;cliente_endereco=fddddddddddddddddd;cliente_telefone11 6666-4542455;cliente_email=math@tgsdg;hamburguer_nome=combo;hamburguer_preco0;shake_nome=chocolate;shake_preco=0;data_pedido=14/11/2019 15:45:22;preco_total=0
cliente_nome=Matheus;cliente_endereco=Casa do carai;cliente_telefone11 6666-6666;cliente_email=math@theus.com;hamburguer_nome=Furioso;hamburguer_preco0;shake_nome=Chocolata;shake_preco=0;data_pedido=18/11/2019 14:25:49;preco_total=0
cliente_nome=Matheus;cliente_endereco=Casa do carai;cliente_telefone11 6666-6666;cliente_email=math@theus.com;hamburguer_nome=Furioso;hamburguer_preco0;shake_nome=Chocolata;shake_preco=0;data_pedido=18/11/2019 14:41:12;preco_total=0
cliente_nome=;cliente_endereco=;cliente_telefone;cliente_email=;hamburguer_nome=Vegeburguer;hamburguer_preco0;shake_nome=Computador Gamer;shake_preco=0;data_pedido=18/11/2019 14:46:19;preco_total=0
cliente_nome=;cliente_endereco=;cliente_telefone;cliente_email=;hamburguer_nome=Vegeburguer;hamburguer_preco0;shake_nome=Computador Gamer;shake_preco=0;data_pedido=18/11/2019 14:46:39;preco_total=0
cliente_nome=Matheus;cliente_endereco=oi oi oi ;cliente_telefone11 6666-6666;cliente_email=math@theus.com;hamburguer_nome=Vegeburguer;hamburguer_preco0;shake_nome=Computador Gamer;shake_preco=0;data_pedido=18/11/2019 14:52:26;preco_total=0
cliente_nome=Matheus;cliente_endereco=Casa do carai;cliente_telefone11 6666-6666;cliente_email=math@theus.com;hamburguer_nome=Furioso;hamburguer_preco9,99;shake_nome=Computador Gamer;shake_preco=3852,77;data_pedido=18/11/2019 16:13:29;preco_total=0
cliente_nome=Matheus;cliente_endereco=Casa do carai;cliente_telefone11 6666-6666;cliente_email=math@theus.com;hamburguer_nome=Vegeburguer;hamburguer_preco=10,99;shake_nome=Computador Gamer;shake_preco=3852,77;data_pedido=18/11/2019 16:31:04;preco_total=3863,76
cliente_nome=;cliente_endereco=;cliente_telefone;cliente_email=;hamburguer_nome=Black Burger;hamburguer_preco=12,99;shake_nome=Computador Gamer;shake_preco=3852,77;data_pedido=18/11/2019 16:35:08;preco_total=7576,8896
cliente_nome=Matheus;cliente_endereco=Casa do carai;cliente_telefone11 6666-6666;cliente_email=math@theus.com;hamburguer_nome=Combo da Hora;hamburguer_preco=19,99;shake_nome=Jujubinha de Sabão;shake_preco=499,99;data_pedido=18/11/2019 16:39:05;preco_total=759,1708
cliente_nome=Matheus;cliente_endereco=Casa do carai;cliente_telefone11 6666-6666;cliente_email=math@theus.com;hamburguer_nome=Vegeburguer;hamburguer_preco=10,99;shake_nome=Jujubinha de Sabão;shake_preco=499,99;data_pedido=18/11/2019 16:42:20;preco_total=510,98
